iter	Passed	Remaining
455	978	1166
456	980	1164
457	981	1161
458	983	1158
459	984	1155
460	985	1152
461	986	1149
462	987	1145
463	989	1142
464	991	1141
465	994	1139
466	995	1135
467	996	1132
468	997	1129
469	998	1126
470	999	1123
471	1001	1119
472	1002	1116
473	1003	1113
474	1005	1110
475	1007	1108
476	1009	1106
477	1010	1103
478	1011	1100
479	1013	1097
480	1014	1094
481	1015	1091
482	1016	1088
483	1017	1085
484	1019	1082
485	1021	1080
486	1023	1077
487	1024	1074
488	1025	1072
489	1027	1069
490	1028	1066
491	1029	1063
492	1031	1060
493	1032	1057
494	1033	1054
495	1036	1052
496	1037	1050
497	1039	1047
498	1040	1044
499	1041	1041
500	1042	1038
501	1043	1035
502	1045	1032
503	1046	1029
504	1048	1027
505	1049	1024
506	1052	1023
507	1053	1020
508	1054	1017
509	1055	1014
510	1056	1011
511	1057	1008
512	1059	1005
513	1060	1002
514	1061	999
515	1062	997
516	1064	994
517	1066	992
518	1068	989
519	1069	986
520	1070	984
521	1071	981
522	1072	978
523	1073	975
524	1074	972
525	1076	969
526	1077	967
527	1080	965
528	1081	963
529	1082	960
530	1084	957
531	1085	954
532	1086	951
533	1087	949
534	1088	946
535	1089	943
536	1090	940
537	1092	938
538	1094	936
539	1096	934
540	1097	931
541	1099	928
542	1100	925
543	1101	923
544	1102	920
545	1103	917
546	1104	914
547	1105	911
548	1107	909
549	1109	907
550	1111	905
551	1112	903
552	1114	900
553	1115	897
554	1116	895
555	1117	892
556	1118	889
557	1120	887
558	1121	884
559	1123	883
560	1125	880
561	1126	878
562	1127	875
563	1129	872
564	1130	870
565	1131	867
566	1132	864
567	1133	862
568	1134	859
569	1136	857
570	1138	855
571	1139	852
572	1141	850
573	1142	847
574	1143	845
575	1144	842
576	1145	839
577	1146	837
578	1148	834
579	1149	832
580	1150	829
581	1152	827
582	1154	825
583	1155	823
584	1157	820
585	1158	818
586	1159	815
587	1160	813
588	1161	810
589	1162	808
590	1165	806
591	1167	804
592	1169	802
593	1170	799
594	1171	797
595	1172	794
596	1173	792
597	1174	789
598	1175	787
599	1177	784
600	1178	782
601	1180	780
602	1183	779
603	1184	776
604	1185	774
605	1186	771
606	1187	769
607	1189	766
608	1190	764
609	1191	761
610	1192	759
611	1194	757
612	1197	755
613	1199	753
614	1200	751
615	1201	748
616	1202	746
617	1203	743
618	1204	741
619	1205	739
620	1207	736
621	1208	734
622	1213	734
623	1215	732
624	1216	730
625	1218	727
626	1219	725
627	1221	723
628	1223	721
629	1224	719
630	1226	717
631	1228	715
632	1229	713
633	1231	710
634	1232	708
635	1233	705
636	1234	703
637	1235	701
638	1236	698
639	1239	697
640	1241	695
641	1243	693
642	1244	691
643	1245	688
644	1247	686
645	1248	684
646	1249	681
647	1250	679
648	1251	677
649	1253	675
650	1255	673
651	1257	671
652	1258	668
653	1259	666
654	1260	664
655	1262	661
656	1263	659
657	1264	657
658	1265	654
659	1266	652
660	1268	650
661	1270	648
662	1272	646
663	1273	644
664	1274	642
665	1276	639
666	1277	637
667	1278	635
668	1279	633
669	1280	630
670	1282	628
671	1284	627
672	1286	625
673	1288	623
674	1289	620
675	1290	618
676	1291	616
677	1292	613
678	1293	611
679	1295	609
680	1298	608
681	1300	606
682	1301	604
683	1303	602
684	1304	599
685	1305	597
686	1307	595
687	1308	593
688	1309	591
689	1310	588
690	1312	586
691	1315	585
692	1316	583
693	1317	580
694	1318	578
695	1319	576
696	1321	574
697	1322	572
698	1323	569
699	1324	567
700	1326	565
701	1327	563
702	1330	562
703	1331	559
704	1332	557
705	1333	555
706	1335	553
707	1336	551
708	1337	548
709	1338	546
710	1339	544
711	1341	542
712	1342	540
713	1344	538
714	1346	536
715	1347	534
716	1349	532
717	1350	530
718	1351	528
719	1352	526
720	1353	523
721	1355	521
722	1357	520
723	1359	518
724	1360	516
725	1362	514
726	1363	511
727	1364	509
728	1365	507
729	1367	505
730	1368	503
731	1370	501
732	1371	499
733	1373	497
734	1374	495
735	1375	493
736	1377	491
737	1378	489
738	1379	487
739	1380	485
740	1381	483
741	1383	480
742	1384	478
743	1386	477
744	1388	475
745	1389	473
746	1390	470
747	1391	468
748	1392	466
749	1394	464
750	1395	462
751	1396	460
752	1397	458
753	1399	456
754	1403	455
755	1404	453
756	1405	451
757	1407	449
758	1408	447
759	1409	445
760	1411	443
761	1412	441
762	1414	439
763	1416	437
764	1417	435
765	1418	433
766	1420	431
767	1421	429
768	1422	427
769	1423	425
770	1425	423
771	1426	421
772	1427	419
773	1429	417
774	1431	415
775	1432	413
776	1434	411
777	1435	409
778	1436	407
779	1437	405
780	1438	403
781	1440	401
782	1441	399
783	1443	397
784	1445	395
785	1446	393
786	1448	391
787	1449	389
788	1450	387
789	1451	385
790	1453	383
791	1454	381
792	1455	379
793	1456	378
794	1462	376
795	1463	374
796	1464	372
797	1465	370
798	1466	368
799	1467	366
800	1469	365
801	1470	363
802	1473	361
803	1476	359
804	1477	357
805	1479	355
806	1480	353
807	1481	351
808	1482	350
809	1483	348
810	1485	346
811	1490	345
812	1492	343
813	1494	341
814	1495	339
815	1496	337
816	1498	335
817	1499	333
818	1500	331
819	1501	329
820	1504	327
821	1505	326
822	1507	324
823	1508	322
824	1509	320
825	1510	318
826	1511	316
827	1513	314
828	1514	312
829	1515	310
830	1517	308
831	1519	306
832	1521	304
833	1522	302
834	1523	301
835	1524	299
836	1525	297
837	1526	295
838	1528	293
839	1529	291
840	1532	289
841	1534	288
842	1536	286
843	1537	284
844	1538	282
845	1539	280
846	1541	278
847	1542	276
848	1543	274
849	1544	272
850	1546	270
851	1548	269
852	1550	267
853	1551	265
854	1553	263
855	1554	261
856	1555	259
857	1556	257
858	1557	255
859	1559	253
860	1560	251
861	1562	250
862	1564	248
863	1565	246
864	1566	244
865	1568	242
866	1569	240
867	1570	238
868	1571	236
869	1572	235
870	1574	233
871	1575	231
872	1577	229
873	1580	227
874	1581	225
875	1582	224
876	1584	222
877	1585	220
878	1586	218
879	1588	216
880	1593	215
881	1595	213
882	1596	211
883	1597	209
884	1599	207
885	1600	205
886	1601	204
887	1602	202
888	1603	200
889	1606	198
890	1608	196
891	1609	194
892	1611	193
893	1612	191
894	1613	189
895	1614	187
896	1615	185
897	1616	183
898	1617	181
899	1619	179
900	1621	178
901	1623	176
902	1624	174
903	1625	172
904	1626	170
905	1627	168
906	1629	167
907	1630	165
908	1631	163
909	1632	161
910	1634	159
911	1636	157
912	1638	156
913	1639	154
914	1640	152
915	1641	150
916	1643	148
917	1644	146
918	1645	145
919	1646	143
920	1647	141
921	1650	139
922	1652	137
923	1653	135
924	1654	134
925	1655	132
926	1656	130
927	1657	128
928	1659	126
929	1660	124
930	1661	123
931	1662	121
932	1664	119
933	1667	117
934	1668	115
935	1669	114
936	1670	112
937	1671	110
938	1673	108
939	1674	106
940	1675	105
941	1676	103
942	1678	101
943	1679	99
944	1681	97
945	1683	96
946	1684	94
947	1685	92
948	1686	90
949	1688	88
950	1689	87
951	1690	85
952	1691	83
953	1693	81
954	1695	79
955	1696	78
956	1697	76
957	1698	74
958	1700	72
959	1701	70
960	1702	69
961	1703	67
962	1704	65
963	1706	63
964	1708	61
965	1710	60
966	1711	58
967	1713	56
968	1714	54
969	1715	53
970	1717	51
971	1718	49
972	1719	47
973	1721	45
974	1723	44
975	1725	42
976	1726	40
977	1727	38
978	1728	37
979	1730	35
980	1731	33
981	1732	31
982	1734	29
983	1735	28
984	1737	26
985	1739	24
986	1740	22
987	1741	21
988	1742	19
989	1743	17
990	1744	15
991	1745	14
992	1747	12
993	1748	10
994	1749	8
995	1751	7
996	1753	5
997	1755	3
998	1756	1
999	1758	0
